area_title,occ_code,occ_title,tot_emp,a_pct10,a_pct25,a_pct75,a_pct90
"Chicago-Naperville-Elgin, IL-IN-WI",15,"Data Scientists and Mathematical Science Occupations, All Other","1,570","56,050","71,570","126,400","159,250"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer Systems Analysts,"44,210","64,520","80,740","142,640","172,900"
"New York-Newark-Jersey City, NY-NJ-PA",15,Information Security Analysts,"8,850","68,090","91,190","157,870","192,660"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer and Information Research Scientists,"1,800","84,050","103,630","167,620","199,820"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer Network Support Specialists,"13,450","48,690","64,700","105,290","129,200"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer User Support Specialists,"42,840","37,310","47,180","79,360","102,850"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer Network Architects,"10,120","61,780","94,710","161,000","196,250"
"New York-Newark-Jersey City, NY-NJ-PA",15,Network and Computer Systems Administrators,"27,140","60,450","77,680","127,920","159,660"
"New York-Newark-Jersey City, NY-NJ-PA",15,Database Administrators and Architects,"8,890","59,320","79,670","142,590","170,120"
"New York-Newark-Jersey City, NY-NJ-PA",15,Computer Programmers,"15,070","52,950","65,100","124,070","154,540"
"New York-Newark-Jersey City, NY-NJ-PA",15,Software Developers and Software Quality Assurance Analysts and Testers,"100,470","71,350","91,260","149,530","181,210"
"New York-Newark-Jersey City, NY-NJ-PA",15,Web Developers and Digital Interface Designers,"13,460","45,920","58,750","111,980","150,010"
"New York-Newark-Jersey City, NY-NJ-PA",15,"Computer Occupations, All Other","12,150","36,330","55,990","122,960","153,520"
"New York-Newark-Jersey City, NY-NJ-PA",15,Actuaries,"2,350","72,380","95,390","180,440",#
"New York-Newark-Jersey City, NY-NJ-PA",15,Mathematicians,230,"60,730","77,480","147,330","185,790"
"New York-Newark-Jersey City, NY-NJ-PA",15,Operations Research Analysts,"7,370","56,060","74,640","137,130","185,520"
"New York-Newark-Jersey City, NY-NJ-PA",15,Statisticians,"1,700","66,410","82,400","128,040","156,300"
"New York-Newark-Jersey City, NY-NJ-PA",15,"Data Scientists and Mathematical Science Occupations, All Other","2,690","67,170","90,810","152,760","192,240"
"San Francisco-Oakland-Hayward, CA",15,Computer Systems Analysts,"16,980","75,230","95,090","148,630","172,290"
"San Francisco-Oakland-Hayward, CA",15,Information Security Analysts,"2,260","67,210","91,420","153,530","188,520"
"San Francisco-Oakland-Hayward, CA",15,Computer and Information Research Scientists,"2,580","64,030","96,000","181,230",#
"San Francisco-Oakland-Hayward, CA",15,Computer Network Support Specialists,"3,320","49,820","64,030","103,830","130,440"
"San Francisco-Oakland-Hayward, CA",15,Computer User Support Specialists,"16,980","47,200","58,160","91,330","111,630"
